lEntity,Rela,rEntity
rib fractures,location,right
rib fractures,healing status,healed
sternotomy wires,status,present
pacemaker,status,present
pacemaker,location,left chest
ICD leads,status,present
lung nodules,status,present
lung nodules,size,small
lung nodules,appearance,noncalcified
atelectasis,location,bibasilar
atelectasis,location,left base
atelectasis,location,right base
osteopenia,location,spine
osteopenia,location,ribs
scoliosis,location,thoracic spine
scoliosis,severity,mild
calcified lymph nodes,location,hilar
calcified lymph nodes,location,mediastinal
pulmonary fibrosis,status,present
pulmonary fibrosis,location,bilateral
pleural thickening,location,apical
pleural thickening,location,right
pleural thickening,location,left
cardiomegaly,status,present
cardiomegaly,degree,mild
atherosclerosis,location,aorta
atherosclerosis,severity,moderate
emphysema,associated with,lung changes
emphysema,location,upper lobes
bronchial wall thickening,status,present
bronchial wall thickening,location,diffuse
interstitial markings,location,bilateral
interstitial markings,appearance,increased
kyphosis,location,thoracic spine
kyphosis,severity,mild
pectus excavatum,status,present
pectus carinatum,status,present
diaphragm,position,elevated
diaphragm,position,normal
trachea,position,midline
trachea,position,deviated
costophrenic angles,appearance,sharp
costophrenic angles,appearance,blunted
bony structures,appearance,intact
bony structures,appearance,degenerative changes
soft tissues,appearance,normal
soft tissues,appearance,swelling
calcified granuloma,associated with,previous infection
calcified granuloma,associated with,tuberculosis
calcified granuloma,associated with,histoplasmosis
calcified granuloma,follow-up,recommended
calcified granuloma,follow-up,not necessary
calcified granuloma,clinical significance,benign
calcified granuloma,clinical significance,requires monitoring
calcified granuloma,differential diagnosis,includes malignancy
calcified granuloma,differential diagnosis,includes sarcoidosis
calcified granuloma,differential diagnosis,includes fungal infection
chest radiograph,quality,adequate
chest radiograph,view,PA
chest radiograph,view,lateral
chest radiograph,comparison,previous study
pulmonary arteries,appearance,normal
pulmonary arteries,appearance,enlarged
bronchi,appearance,normal
bronchi,appearance,thickened walls
lung volumes,status,normal
lung volumes,status,decreased
lung volumes,status,increased
pleural plaques,status,present
pleural plaques,location,bilateral
pleural plaques,associated with,asbestos exposure
air bronchograms,status,present
air bronchograms,location,right lower lobe
air bronchograms,associated with,pneumonia
cardiomediastinal silhouette,appearance,normal
cardiomediastinal silhouette,appearance,enlarged
calcified granuloma,density,high
calcified granuloma,shape,round
calcified granuloma,shape,oval
calcified granuloma,margins,well-defined
calcified granuloma,distribution,random
calcified granuloma,distribution,upper lobe predominant
calcified granuloma,temporal change,stable
calcified granuloma,temporal change,increased in size
calcified granuloma,temporal change,decreased in size
calcified granuloma,associated findings,none
calcified granuloma,associated findings,surrounding inflammation
