1. (heart size, is, normal)
180. (hilar regions, show no, masses)
181. (lung apices, show no, nodules)
182. (costophrenic recesses, are, not blunted)
183. (cardiophrenic recesses, are, not obscured)
184. (pulmonary arteries, show, normal branching)
185. (pulmonary veins, show, normal branching)
186. (interstitial markings, are, not increased)
187. (alveolar spaces, show no, opacities)
188. (bronchial tree, is, not distorted)
189. (tracheal air column, is, not deviated)
190. (carina, shows, normal bifurcation)
191. (azygoesophageal recess, is, not widened)
192. (retrocardiac space, is, not opacified)
193. (anterior mediastinum, shows no, masses)
194. (posterior mediastinum, shows no, masses)
195. (lung bases, are, well-expanded)
196. (costophrenic angles, are, well-defined)
197. (cardiophrenic angles, are, sharp)
198. (pulmonary vessels, show, normal distribution)
199. (hilar shadows, are, not prominent)
200. (tracheal air shadow, is, centrally located)
