1. (Bibasilar airspace disease, associated with, bilateral pleural fluid)
136. (Bibasilar opacities, may represent, consolidation)
137. (Left-sided central venous catheter, is, in place)
138. (Left-sided central venous catheter, terminates in, superior vena cava)
139. (Pneumothorax, is, not seen)
140. (Cardiomegaly, is, present)
141. (Pulmonary edema, is, present)
142. (Bilateral pleural effusions, are, present)
143. (Right pleural effusion, is, larger)
144. (Left lung base, shows, atelectasis)
145. (Cardiomediastinal silhouette, is, enlarged)
146. (Pulmonary vasculature, is, engorged)
147. (Bilateral pleural effusions, are, present)
148. (Right pleural effusion, is, larger than left)
149. (Bibasilar opacities, are, present)
150. (Bibasilar opacities, may represent, atelectasis)
151. (Bibasilar opacities, may represent, consolidation)
152. (Left-sided central venous catheter, is, in place)
153. (Left-sided central venous catheter, terminates in, superior vena cava)
154. (Pneumothorax, is, not seen)
155. (Heart size, is, enlarged)
156. (Mediastinal contours, are, within normal limits)
157. (Pulmonary vasculature, is, prominent)
158. (Bilateral pleural effusions, are, present)
159. (Right pleural effusion, is, larger than left)
160. (Bibasilar opacities, are, present)
161. (Bibasilar opacities, may represent, atelectasis)
162. (Bibasilar opacities, may represent, consolidation)
163. (Left-sided central venous catheter, is, in place)
164. (Left-sided central venous catheter, terminates in, superior vena cava)
165. (Pneumothorax, is, not seen)
166. (Cardiomegaly, is, present)
167. (Pulmonary edema, is, present)
168. (Bilateral pleural effusions, are, present)
169. (Right pleural effusion, is, larger)
170. (Left lung base, shows, atelectasis)
171. (Cardiomediastinal silhouette, is, enlarged)
172. (Pulmonary vasculature, is, engorged)
173. (Bilateral pleural effusions, are, present)
174. (Right pleural effusion, is, larger than left)
175. (Bibasilar opacities, are, present)
176. (Bibasilar opacities, may represent, atelectasis)
177. (Bibasilar opacities, may represent, consolidation)
178. (Left-sided central venous catheter, is, in place)
179. (Left-sided central venous catheter, terminates in, superior vena cava)
180. (Pneumothorax, is, not seen)
181. (Heart size, is, enlarged)
182. (Mediastinal contours, are, within normal limits)
183. (Pulmonary vasculature, is, prominent)
184. (Bilateral pleural effusions, are, present)
185. (Right pleural effusion, is, larger than left)
186. (Bibasilar opacities, are, present)
187. (Bibasilar opacities, may represent, atelectasis)
188. (Bibasilar opacities, may represent, consolidation)
189. (Left-sided central venous catheter, is, in place)
190. (Left-sided central venous catheter, terminates in, superior vena cava)
191. (Pneumothorax, is, not seen)
192. (Cardiomegaly, is, present)
193. (Pulmonary edema, is, present)
194. (Bilateral pleural effusions, are, present)
195. (Right pleural effusion, is, larger)
196. (Left lung base, shows, atelectasis)
197. (Cardiomediastinal silhouette, is, enlarged)
198. (Pulmonary vasculature, is, engorged)
199. (Bilateral pleural effusions, are, present)
200. (Right pleural effusion, is, larger than left)
