1. (lungs, are, clear)
184. (costophrenic sulci, are, not obliterated)
185. (diaphragmatic contours, are, not elevated)
186. (lung periphery, shows, no reticular opacities)
187. (bony structures, show, no sclerotic lesions)
188. (soft tissues, show, no calcifications)
189. (cardiomediastinal silhouette, shows, no abnormal contours)
190. (pulmonary vasculature, is, not obscured)
191. (lung parenchyma, shows, no ground-glass opacities)
192. (pleural reflections, show, no thickening)
193. (lung apices, show, no cavitary lesions)
194. (lung bases, show, no honeycombing)
195. (cardiac silhouette, shows, no pericardial effusion)
196. (mediastinum, shows, no lymphadenopathy)
197. (pulmonary vessels, show, no filling defects)
198. (costophrenic angles, show, no pleural plaques)
199. (trachea, shows, no foreign bodies)
200. (hilar regions, show, no calcified lymph nodes)
