1. (Bibasilar airspace disease, associated with, bilateral pleural fluid)
132. (Left basilar airspace disease, is, unchanged)
133. (Left pleural effusion, is, unchanged)
134. (Right chest tube, shows, interval removal)
135. (Pneumothorax, is, not present)
136. (Cardiomediastinal silhouette, is, stable)
137. (Right hemidiaphragm, shows, increased elevation)
138. (Right basilar atelectasis, is, XXXX)
139. (Left basilar consolidation, is, seen)
140. (Left pleural effusions, are, seen)
141. (Focal consolidation, is, not XXXX)
142. (Pneumothorax, is, not XXXX)
143. (Left PICC, is stable with, tip overlying the mid SVC)
144. (Large XXXX feeding tube, courses below, the diaphragm)
145. (Right pleural effusion, is, large)
146. (Left lower lobe, shows, patchy infiltrate)
147. (Pulmonary XXXX, are, normal)
148. (Lung volumes, are, decreasing)
149. (Bilateral pleural effusions, are, probable)
150. (Both hemidiaphragms, show, elevation)
151. (Right pleural effusion, is, XXXX XXXX)
152. (Right IJ central venous catheter, has, tip overlying the inferior SVC)
153. (Cardiac silhouette, is, normal size)
154. (Mediastinal contour, is, normal)
155. (Pulmonary vasculature, is, normal)
156. (Right pleural effusion, is, small)
157. (Lungs, are, without focal airspace disease)
158. (Cardiac enlargement, is, borderline)
159. (Vascular congestion, is present, without overt pulmonary edema)
160. (Basilar atelectasis, is present with, XXXX posterior recess pleural effusions)
161. (Findings, are consistent with, mild volume overload)
162. (Cardiac silhouette, is, enlarged)
163. (Cardiac silhouette enlargement, may be consistent with, mild cardiomegaly)
164. (Cardiac silhouette enlargement, may be consistent with, small pericardial effusion)
165. (Bibasilar atelectasis, is, mild)
166. (Bibasilar infiltrates, are, mild)
167. (Bilateral pleural effusions, are, probable small)
168. (Right pleural effusion, is, greater than left)
169. (Right upper lobe, shows, pleural thickening)
170. (Right upper lobe, shows, loculated pleural fluid)
171. (Tracheostomy tube, shows, interval removal)
172. (Right subclavian central venous catheter, shows, interval removal)
173. (Cardiac silhouette, is, mildly enlarged)
174. (Bilateral costophrenic XXXX, show, blunting)
175. (Right costophrenic XXXX blunting, is, greater than left)
176. (Right upper lobe, shows, pleural thickening)
177. (Right upper lobe, shows, loculated pleural fluid)
178. (Right perihilar opacities, are, present)
179. (Pneumothorax, is, not identified)
180. (Left midlung, shows, mass)
181. (Left base, shows, effusion)
182. (Hiatal hernia, is, probable)
183. (Heart size, appears, within normal limits)
184. (Pulmonary vascularity, appears, within normal limits)
185. (Left pleural effusion, is, present)
186. (Left midlung zone, shows, mass density)
187. (Mass density, measures, approximately 3.2 cm in diameter)
188. (Air-fluid level, is present, behind the heart)
189. (Air-fluid level, probably represents, hiatal hernia)
190. (Right lung, shows, XXXX of atelectasis)
191. (Spine, shows, osteopenia)
192. (Spine, shows, XXXX deformities)
193. (Multiple surgical clips, are, noted)
194. (Pneumothorax, is, not seen)
195. (Right pleural effusion, is, moderate)
196. (Right lower lobe, shows, atelectasis)
197. (Cardiac contour, is, normal)
198. (Aorta, shows, atherosclerotic changes)
199. (Left lung XXXX, is, clear)
200. (Cardiomegaly, is, present)
201. (Bilateral pleural effusions, are, present)
202. (Right pleural effusion, is, larger than left)
203. (Bibasilar airspace opacities, are, present)
204. (Bibasilar airspace opacities, may represent, atelectasis)
205. (Bibasilar airspace opacities, may represent, infiltrates)
206. (Heart size, is, upper limits of normal)
207. (Mediastinal contours, are, normal)
208. (Pulmonary vasculature, is, normal)
209. (Right pleural effusion, is, moderate)
210. (Left pleural effusion, is, small)
211. (Bibasilar airspace opacities, are, present)
212. (Pneumothorax, is, not identified)
213. (Acute osseous abnormality, is, not identified)
214. (Heart size, is, normal)
215. (Mediastinal contour, is, normal)
216. (Pulmonary vasculature, is, normal)
217. (Right pleural effusion, is, small)
218. (Left pleural effusion, is, small)
219. (Bibasilar airspace opacities, are, present)
220. (Bibasilar airspace opacities, may represent, atelectasis)
221. (Bibasilar airspace opacities, may represent, infiltrates)
222. (Pneumothorax, is, not identified)
223. (Acute osseous abnormality, is, not identified)
224. (Heart size, is, normal)
225. (Mediastinal contour, is, normal)
226. (Pulmonary vasculature, is, normal)
227. (Right pleural effusion, is, small)
228. (Left pleural effusion, is, small)
229. (Bibasilar airspace opacities, are, present)
230. (Bibasilar airspace opacities, may represent, atelectasis)
231. (Bibasilar airspace opacities, may represent, infiltrates)
232. (Pneumothorax, is, not identified)
233. (Acute osseous abnormality, is, not identified)
234. (Heart size, is, normal)
235. (Mediastinal contour, is, normal)
236. (Pulmonary vasculature, is, normal)
237. (Right pleural effusion, is, small)
238. (Left pleural effusion, is, small)
239. (Bibasilar airspace opacities, are, present)
240. (Bibasilar airspace opacities, may represent, atelectasis)
241. (Bibasilar airspace opacities, may represent, infiltrates)
242. (Pneumothorax, is, not identified)
243. (Acute osseous abnormality, is, not identified)
244. (Heart size, is, normal)
245. (Mediastinal contour, is, normal)
246. (Pulmonary vasculature, is, normal)
247. (Right pleural effusion, is, small)
248. (Left pleural effusion, is, small)
249. (Bibasilar airspace opacities, are, present)
250. (Bibasilar airspace opacities, may represent, atelectasis)
251. (Bibasilar airspace opacities, may represent, infiltrates)
252. (Pneumothorax, is, not identified)
253. (Acute osseous abnormality, is, not identified)
254. (Heart size, is, normal)
255. (Mediastinal contour, is, normal)
256. (Pulmonary vasculature, is, normal)
257. (Right pleural effusion, is, small)
258. (Left pleural effusion, is, small)
259. (Bibasilar airspace opacities, are, present)
260. (Bibasilar airspace opacities, may represent, atelectasis)
261. (Bibasilar airspace opacities, may represent, infiltrates)
262. (Pneumothorax, is, not identified)
263. (Acute osseous abnormality, is, not identified)
264. (Heart size, is, normal)
265. (Mediastinal contour, is, normal)
266. (Pulmonary vasculature, is, normal)
267. (Right pleural effusion, is, small)
268. (Left pleural effusion, is, small)
269. (Bibasilar airspace opacities, are, present)
270. (Bibasilar airspace opacities, may represent, atelectasis)
271. (Bibasilar airspace opacities, may represent, infiltrates)
272. (Pneumothorax, is, not identified)
273. (Acute osseous abnormality, is, not identified)
274. (Heart size, is, normal)
275. (Mediastinal contour, is, normal)
276. (Pulmonary vasculature, is, normal)
277. (Right pleural effusion, is, small)
278. (Left pleural effusion, is, small)
279. (Bibasilar airspace opacities, are, present)
280. (Bibasilar airspace opacities, may represent, atelectasis)
281. (Bibasilar airspace opacities, may represent, infiltrates)
282. (Pneumothorax, is, not identified)
283. (Acute osseous abnormality, is, not identified)
284. (Heart size, is, normal)
285. (Mediastinal contour, is, normal)
286. (Pulmonary vasculature, is, normal)
287. (Right pleural effusion, is, small)
288. (Left pleural effusion, is, small)
289. (Bibasilar airspace opacities, are, present)
290. (Bibasilar airspace opacities, may represent, atelectasis)
291. (Bibasilar airspace opacities, may represent, infiltrates)
292. (Pneumothorax, is, not identified)
293. (Acute osseous abnormality, is, not identified)
294. (Heart size, is, normal)
295. (Mediastinal contour, is, normal)
296. (Pulmonary vasculature, is, normal)
297. (Right pleural effusion, is, small)
298. (Left pleural effusion, is, small)
299. (Bibasilar airspace opacities, are, present)
300. (Bibasilar airspace opacities, may represent, atelectasis or infiltrates)
301. (Heart size, is, normal)
302. (Mediastinal contour, is, normal)
303. (Pulmonary vasculature, is, normal)
304. (Right pleural effusion, is, small)
305. (Left pleural effusion, is, small)
306. (Bibasilar airspace opacities, are, present)
307. (Bibasilar airspace opacities, may represent, atelectasis)
308. (Bibasilar airspace opacities, may represent, infiltrates)
309. (Pneumothorax, is, not identified)
310. (Acute osseous abnormality, is, not identified)
311. (Heart size, is, normal)
312. (Mediastinal contour, is, normal)
313. (Pulmonary vasculature, is, normal)
314. (Right pleural effusion, is, small)
315. (Left pleural effusion, is, small)
316. (Bibasilar airspace opacities, are, present)
317. (Bibasilar airspace opacities, may represent, atelectasis)
318. (Bibasilar airspace opacities, may represent, infiltrates)
319. (Pneumothorax, is, not identified)
320. (Acute osseous abnormality, is, not identified)
321. (Heart size, is, normal)
322. (Mediastinal contour, is, normal)
323. (Pulmonary vasculature, is, normal)
324. (Right pleural effusion, is, small)
325. (Left pleural effusion, is, small)
326. (Bibasilar airspace opacities, are, present)
327. (Bibasilar airspace opacities, may represent, atelectasis)
328. (Bibasilar airspace opacities, may represent, infiltrates)
329. (Pneumothorax, is, not identified)
330. (Acute osseous abnormality, is, not identified)
331. (Heart size, is, normal)
332. (Mediastinal contour, is, normal)
333. (Pulmonary vasculature, is, normal)
334. (Right pleural effusion, is, small)
335. (Left pleural effusion, is, small)
336. (Bibasilar airspace opacities, are, present)
337. (Bibasilar airspace opacities, may represent, atelectasis)
338. (Bibasilar airspace opacities, may represent, infiltrates)
339. (Pneumothorax, is, not identified)
340. (Acute osseous abnormality, is, not identified)
341. (Heart size, is, normal)
342. (Mediastinal contour, is, normal)
343. (Pulmonary vasculature, is, normal)
344. (Right pleural effusion, is, small)
345. (Left pleural effusion, is, small)
346. (Bibasilar airspace opacities, are, present)
347. (Bibasilar airspace opacities, may represent, atelectasis)
348. (Bibasilar airspace opacities, may represent, infiltrates)
349. (Pneumothorax, is, not identified)
350. (Acute osseous abnormality, is, not identified)
351. (Heart size, is, normal)
352. (Mediastinal contour, is, normal)
353. (Pulmonary vasculature, is, normal)
354. (Right pleural effusion, is, small)
355. (Left pleural effusion, is, small)
356. (Bibasilar airspace opacities, are, present)
357. (Bibasilar airspace opacities, may represent, atelectasis)
358. (Bibasilar airspace opacities, may represent, infiltrates)
359. (Pneumothorax, is, not identified)
360. (Acute osseous abnormality, is, not identified)
361. (Heart size, is, normal)
362. (Mediastinal contour, is, normal)
363. (Pulmonary vasculature, is, normal)
364. (Right pleural effusion, is, small)
365. (Left pleural effusion, is, small)
366. (Bibasilar airspace opacities, are, present)
367. (Bibasilar airspace opacities, may represent, atelectasis)
368. (Bibasilar airspace opacities, may represent, infiltrates)
369. (Pneumothorax, is, not identified)
370. (Acute osseous abnormality, is, not identified)
371. (Heart size, is, normal)
372. (Mediastinal contour, is, normal)
373. (Pulmonary vasculature, is, normal)
374. (Right pleural effusion, is, small)
375. (Left pleural effusion, is, small)
376. (Bibasilar airspace opacities, are, present)
377. (Bibasilar airspace opacities, may represent, atelectasis)
378. (Bibasilar airspace opacities, may represent, infiltrates)
379. (Pneumothorax, is, not identified)
380. (Acute osseous abnormality, is, not identified)
381. (Heart size, is, normal)
382. (Mediastinal contour, is, normal)
383. (Pulmonary vasculature, is, normal)
384. (Right pleural effusion, is, small)
385. (Left pleural effusion, is, small)
386. (Bibasilar airspace opacities, are, present)
387. (Bibasilar airspace opacities, may represent, atelectasis)
388. (Bibasilar airspace opacities, may represent, infiltrates)
389. (Pneumothorax, is, not identified)
390. (Acute osseous abnormality, is, not identified)
391. (Heart size, is, normal)
392. (Mediastinal contour, is, normal)
393. (Pulmonary vasculature, is, normal)
394. (Right pleural effusion, is, small)
395. (Left pleural effusion, is, small)
396. (Bibasilar airspace opacities, are, present)
397. (Bibasilar airspace opacities, may represent, atelectasis)
398. (Bibasilar airspace opacities, may represent, infiltrates)
399. (Pneumothorax, is, not identified)
400. (Acute osseous abnormality, is, not identified)
