lEntity,Rela,rEntity,type,le,re,rela,cls
aorta,be,tortuous,Calcified_granuloma,336,432,0,1
aorta,be,calcified,Calcified_granuloma,336,494,0,1
aorta,be,ectatic,Calcified_granuloma,336,22,0,1
aorta,be,unfolded,Calcified_granuloma,336,547,0,1
aorta,have,atherosclerotic calcifications,Calcified_granuloma,336,730,1,1
aorta,be,dilated,Calcified_granuloma,336,524,0,1
aorta,be,prominent,Calcified_granuloma,336,637,0,1
aorta,have,aneurysmal enlargement,Calcified_granuloma,336,17,1,1
heart,size,normal,Calcified_granuloma,351,134,2,1
heart,size,enlarged,Calcified_granuloma,351,140,2,1
heart,have,cardiomegaly,Calcified_granuloma,351,590,1,1
heart,size,borderline,Calcified_granuloma,351,698,2,1
heart,have,left ventricular enlargement,Calcified_granuloma,351,277,1,1
lungs,be,clear,Calcified_granuloma,448,658,0,1
lungs,have,emphysematous changes,Calcified_granuloma,448,790,1,1
lungs,have,granulomas,Calcified_granuloma,448,690,1,1
lungs,be,hyperinflated,Calcified_granuloma,448,40,0,1
lungs,have,interstitial markings,Calcified_granuloma,448,526,1,1
lungs,have,chronic changes,Calcified_granuloma,448,509,1,1
lungs,have,COPD changes,Calcified_granuloma,448,814,1,1
pleural effusion,be,absent,Calcified_granuloma,354,10,0,1
pleural effusion,be,present,Calcified_granuloma,354,226,0,1
pneumothorax,be,absent,Calcified_granuloma,160,10,0,1
pulmonary edema,be,absent,Calcified_granuloma,337,10,0,1
pulmonary edema,be,present,Calcified_granuloma,337,226,0,1
thoracic spine,have,degenerative changes,Calcified_granuloma,164,66,1,1
thoracic spine,have,osteophytes,Calcified_granuloma,164,303,1,1
thoracic spine,have,spondylosis,Calcified_granuloma,164,348,1,1
ribs,have,fractures,Calcified_granuloma,251,156,1,1
mediastinum,be,normal,Calcified_granuloma,469,134,0,1
mediastinum,be,widened,Calcified_granuloma,469,359,0,1
pulmonary vasculature,be,normal,Calcified_granuloma,80,134,0,1
pulmonary vasculature,be,engorged,Calcified_granuloma,80,372,0,1
diaphragm,be,elevated,Calcified_granuloma,471,118,0,1
diaphragm,be,flattened,Calcified_granuloma,471,232,0,1
hiatal hernia,be,present,Calcified_granuloma,433,226,0,1
sternotomy wires,be,present,Calcified_granuloma,684,226,0,1
pacemaker,be,present,Calcified_granuloma,680,226,0,1
ICD leads,be,present,Calcified_granuloma,234,226,0,1
airspace consolidation,be,absent,Calcified_granuloma,2,10,0,1
airspace consolidation,be,present,Calcified_granuloma,2,226,0,1
atelectasis,be,present,Calcified_granuloma,54,226,0,1
interstitial markings,be,present,Calcified_granuloma,526,226,0,1
nodules,be,present,Calcified_granuloma,613,226,0,1
calcified lymph nodes,be,present,Calcified_granuloma,29,226,0,1
scoliosis,be,present,Calcified_granuloma,213,226,0,1
kyphosis,be,present,Calcified_granuloma,417,226,0,1
osteopenia,be,present,Calcified_granuloma,773,226,0,1
pleural thickening,be,present,Calcified_granuloma,295,226,0,1
pulmonary hypertension,may be,present,Calcified_granuloma,172,226,3,1
costophrenic angles,be,blunted,Calcified_granuloma,476,713,0,1
lung volumes,be,low,Calcified_granuloma,502,253,0,1
lung volumes,be,normal,Calcified_granuloma,502,134,0,1
trachea,be,midline,Calcified_granuloma,20,380,0,1
surgical clips,be,present,Calcified_granuloma,793,226,0,1
vertebral bodies,have,wedge deformities,Calcified_granuloma,663,194,1,1
clavicle,have,deformity,Calcified_granuloma,360,16,1,1
azygos fissure,be,present,Calcified_granuloma,635,226,0,1
pulmonary nodules,be,present,Calcified_granuloma,235,226,0,1
pleural plaques,be,present,Calcified_granuloma,578,226,0,1
bronchial wall thickening,be,present,Calcified_granuloma,416,226,0,1
pulmonary fibrosis,may be,present,Calcified_granuloma,188,226,3,1
lung scarring,be,present,Calcified_granuloma,584,226,0,1
mediastinal lymphadenopathy,may be,present,Calcified_granuloma,392,226,3,1
aortic aneurysm,may be,present,Calcified_granuloma,424,226,3,1
tracheostomy tube,be,present,Calcified_granuloma,611,226,0,1
mitral annular calcification,be,present,Calcified_granuloma,327,226,0,1
apical scarring,be,present,Calcified_granuloma,162,226,0,1
calcified granuloma,located in,lung,Calcified_granuloma,382,758,4,1
calcified granuloma,located in,right upper lobe,Calcified_granuloma,382,413,4,1
calcified granuloma,located in,left upper lobe,Calcified_granuloma,382,254,4,1
calcified granuloma,located in,right lower lobe,Calcified_granuloma,382,56,4,1
calcified granuloma,located in,left lower lobe,Calcified_granuloma,382,425,4,1
calcified granuloma,located in,right midlung,Calcified_granuloma,382,185,4,1
calcified granuloma,located in,left midlung,Calcified_granuloma,382,591,4,1
calcified granuloma,located in,right hilar region,Calcified_granuloma,382,168,4,1
calcified granuloma,located in,left hilar region,Calcified_granuloma,382,314,4,1
calcified granuloma,located in,right apex,Calcified_granuloma,382,167,4,1
calcified granuloma,located in,left apex,Calcified_granuloma,382,779,4,1
calcified granuloma,located in,right base,Calcified_granuloma,382,206,4,1
calcified granuloma,located in,left base,Calcified_granuloma,382,474,4,1
calcified granuloma,located in,right middle lobe,Calcified_granuloma,382,778,4,1
calcified granuloma,located in,lingula,Calcified_granuloma,382,100,4,1
calcified granuloma,located in,right costophrenic angle,Calcified_granuloma,382,328,4,1
calcified granuloma,located in,left costophrenic angle,Calcified_granuloma,382,669,4,1
calcified granuloma,size,3 mm,Calcified_granuloma,382,224,2,1
calcified granuloma,size,4 mm,Calcified_granuloma,382,283,2,1
calcified granuloma,size,5 mm,Calcified_granuloma,382,806,2,1
calcified granuloma,size,6 mm,Calcified_granuloma,382,308,2,1
calcified granuloma,size,8 mm,Calcified_granuloma,382,490,2,1
calcified granuloma,size,1.7 cm,Calcified_granuloma,382,699,2,1
calcified granuloma,size,2 cm,Calcified_granuloma,382,38,2,1
calcified granuloma,appearance,stable,Calcified_granuloma,382,461,5,1
calcified granuloma,appearance,unchanged,Calcified_granuloma,382,286,5,1
heart,size,normal,Calcified_granuloma,351,134,2,1
heart,size,enlarged,Calcified_granuloma,351,140,2,1
heart,size,mildly enlarged,Calcified_granuloma,351,407,2,1
heart,size,upper limits of normal,Calcified_granuloma,351,431,2,1
lungs,condition,clear,Calcified_granuloma,448,658,6,1
lungs,condition,hyperexpanded,Calcified_granuloma,448,765,6,1
lungs,condition,emphysematous,Calcified_granuloma,448,284,6,1
lungs,condition,well-expanded,Calcified_granuloma,448,807,6,1
lungs,condition,low volume,Calcified_granuloma,448,411,6,1
pleural effusion,status,absent,Calcified_granuloma,354,10,7,1
pleural effusion,status,present,Calcified_granuloma,354,226,7,1
pleural effusion,appearance,left,Calcified_granuloma,354,244,5,1
pleural effusion,appearance,right,Calcified_granuloma,354,683,5,1
pleural effusion,appearance,bilateral,Calcified_granuloma,354,594,5,1
pleural effusion,size,small,Calcified_granuloma,354,724,2,1
pneumothorax,status,absent,Calcified_granuloma,160,10,7,1
pneumothorax,status,present,Calcified_granuloma,160,226,7,1
thoracic spine,condition,degenerative changes,Calcified_granuloma,164,66,6,1
thoracic spine,condition,osteophytes,Calcified_granuloma,164,303,6,1
thoracic spine,condition,scoliosis,Calcified_granuloma,164,213,6,1
aorta,condition,calcified,Calcified_granuloma,336,494,6,1
aorta,condition,tortuous,Calcified_granuloma,336,432,6,1
aorta,condition,ectatic,Calcified_granuloma,336,22,6,1
mediastinal contour,appearance,normal,Calcified_granuloma,748,134,5,1
mediastinal contour,appearance,widened,Calcified_granuloma,748,359,5,1
pulmonary vasculature,appearance,normal,Calcified_granuloma,80,134,5,1
pulmonary vasculature,appearance,prominent,Calcified_granuloma,80,637,5,1
COPD,associate,lung changes,Calcified_granuloma,706,202,8,1
COPD,associate,hyperinflation,Calcified_granuloma,706,694,8,1
hiatal hernia,status,present,Calcified_granuloma,433,226,7,1
hiatal hernia,size,small,Calcified_granuloma,433,724,2,1
rib fractures,status,present,Calcified_granuloma,84,226,7,1
rib fractures,appearance,left,Calcified_granuloma,84,244,5,1
rib fractures,appearance,right,Calcified_granuloma,84,683,5,1
sternotomy wires,status,present,Calcified_granuloma,684,226,7,1
pacemaker,status,present,Calcified_granuloma,680,226,7,1
pacemaker,appearance,left chest,Calcified_granuloma,680,397,5,1
ICD leads,status,present,Calcified_granuloma,234,226,7,1
lung nodules,status,present,Calcified_granuloma,697,226,7,1
lung nodules,size,small,Calcified_granuloma,697,724,2,1
lung nodules,appearance,noncalcified,Calcified_granuloma,697,640,5,1
atelectasis,appearance,bibasilar,Calcified_granuloma,54,361,5,1
atelectasis,appearance,left base,Calcified_granuloma,54,474,5,1
atelectasis,appearance,right base,Calcified_granuloma,54,206,5,1
osteopenia,appearance,spine,Calcified_granuloma,773,338,5,1
osteopenia,appearance,ribs,Calcified_granuloma,773,251,5,1
scoliosis,appearance,thoracic spine,Calcified_granuloma,213,164,5,1
scoliosis,severity,mild,Calcified_granuloma,213,280,9,1
calcified lymph nodes,appearance,hilar,Calcified_granuloma,29,219,5,1
calcified lymph nodes,appearance,mediastinal,Calcified_granuloma,29,63,5,1
pulmonary fibrosis,status,present,Calcified_granuloma,188,226,7,1
pulmonary fibrosis,appearance,bilateral,Calcified_granuloma,188,594,5,1
pleural thickening,appearance,apical,Calcified_granuloma,295,137,5,1
pleural thickening,appearance,right,Calcified_granuloma,295,683,5,1
pleural thickening,appearance,left,Calcified_granuloma,295,244,5,1
cardiomegaly,status,present,Calcified_granuloma,590,226,7,1
atherosclerosis,appearance,aorta,Calcified_granuloma,4,336,5,1
atherosclerosis,severity,moderate,Calcified_granuloma,4,612,9,1
emphysema,associate,lung changes,Calcified_granuloma,371,202,8,1
emphysema,appearance,upper lobes,Calcified_granuloma,371,656,5,1
bronchial wall thickening,status,present,Calcified_granuloma,416,226,7,1
bronchial wall thickening,appearance,diffuse,Calcified_granuloma,416,568,5,1
interstitial markings,appearance,bilateral,Calcified_granuloma,526,594,5,1
interstitial markings,appearance,increased,Calcified_granuloma,526,347,5,1
kyphosis,appearance,thoracic spine,Calcified_granuloma,417,164,5,1
kyphosis,severity,mild,Calcified_granuloma,417,280,9,1
pectus excavatum,status,present,Calcified_granuloma,132,226,7,1
pectus carinatum,status,present,Calcified_granuloma,795,226,7,1
diaphragm,appearance,elevated,Calcified_granuloma,471,118,5,1
diaphragm,appearance,normal,Calcified_granuloma,471,134,5,1
trachea,appearance,midline,Calcified_granuloma,20,380,5,1
trachea,appearance,deviated,Calcified_granuloma,20,707,5,1
costophrenic angles,appearance,sharp,Calcified_granuloma,476,190,5,1
costophrenic angles,appearance,blunted,Calcified_granuloma,476,713,5,1
bony structures,appearance,intact,Calcified_granuloma,632,813,5,1
bony structures,appearance,degenerative changes,Calcified_granuloma,632,66,5,1
soft tissues,appearance,normal,Calcified_granuloma,744,134,5,1
soft tissues,appearance,swelling,Calcified_granuloma,744,725,5,1
calcified granuloma,associate,previous infection,Calcified_granuloma,382,310,8,1
calcified granuloma,associate,tuberculosis,Calcified_granuloma,382,401,8,1
calcified granuloma,associate,histoplasmosis,Calcified_granuloma,382,482,8,1
calcified granuloma,clinical significance,benign,Calcified_granuloma,382,442,10,1
calcified granuloma,clinical significance,requires monitoring,Calcified_granuloma,382,745,10,1
calcified granuloma,differential diagnosbe,includes malignancy,Calcified_granuloma,382,119,11,1
calcified granuloma,differential diagnosbe,includes sarcoidosis,Calcified_granuloma,382,520,11,1
calcified granuloma,differential diagnosbe,includes fungal infection,Calcified_granuloma,382,399,11,1
pulmonary arteries,appearance,normal,Calcified_granuloma,487,134,5,1
pulmonary arteries,appearance,enlarged,Calcified_granuloma,487,140,5,1
bronchi,appearance,normal,Calcified_granuloma,749,134,5,1
bronchi,appearance,thickened walls,Calcified_granuloma,749,214,5,1
lung volumes,status,normal,Calcified_granuloma,502,134,7,1
lung volumes,status,decreased,Calcified_granuloma,502,624,7,1
lung volumes,status,increased,Calcified_granuloma,502,347,7,1
pleural plaques,status,present,Calcified_granuloma,578,226,7,1
pleural plaques,appearance,bilateral,Calcified_granuloma,578,594,5,1
pleural plaques,associate,asbestos exposure,Calcified_granuloma,578,546,8,1
air bronchograms,status,present,Calcified_granuloma,180,226,7,1
air bronchograms,appearance,right lower lobe,Calcified_granuloma,180,56,5,1
air bronchograms,associate,pneumonia,Calcified_granuloma,180,48,8,1
cardiomediastinal silhouette,appearance,normal,Calcified_granuloma,692,134,5,1
cardiomediastinal silhouette,appearance,enlarged,Calcified_granuloma,692,140,5,1
calcified granuloma,associate,none,Calcified_granuloma,382,249,8,1
calcified granuloma,associate,surrounding inflammation,Calcified_granuloma,382,540,8,1
aorta,be,tortuous,Calcinosis_lung,336,432,0,2
aorta,be,calcified,Calcinosis_lung,336,494,0,2
aorta,be,ectatic,Calcinosis_lung,336,22,0,2
aorta,be,unfolded,Calcinosis_lung,336,547,0,2
aorta,have,atherosclerotic calcifications,Calcinosis_lung,336,730,1,2
aorta,be,dilated,Calcinosis_lung,336,524,0,2
aorta,be,prominent,Calcinosis_lung,336,637,0,2
aorta,have,aneurysmal enlargement,Calcinosis_lung,336,17,1,2
heart,size,normal,Calcinosis_lung,351,134,2,2
heart,size,enlarged,Calcinosis_lung,351,140,2,2
heart,have,cardiomegaly,Calcinosis_lung,351,590,1,2
heart,size,borderline,Calcinosis_lung,351,698,2,2
heart,have,left ventricular enlargement,Calcinosis_lung,351,277,1,2
lungs,be,clear,Calcinosis_lung,448,658,0,2
lungs,have,emphysematous changes,Calcinosis_lung,448,790,1,2
lungs,have,granulomas,Calcinosis_lung,448,690,1,2
lungs,be,hyperinflated,Calcinosis_lung,448,40,0,2
lungs,have,interstitial markings,Calcinosis_lung,448,526,1,2
lungs,have,chronic changes,Calcinosis_lung,448,509,1,2
lungs,have,COPD changes,Calcinosis_lung,448,814,1,2
pleural effusion,be,absent,Calcinosis_lung,354,10,0,2
pleural effusion,be,present,Calcinosis_lung,354,226,0,2
pneumothorax,be,absent,Calcinosis_lung,160,10,0,2
pulmonary edema,be,absent,Calcinosis_lung,337,10,0,2
pulmonary edema,be,present,Calcinosis_lung,337,226,0,2
thoracic spine,have,degenerative changes,Calcinosis_lung,164,66,1,2
thoracic spine,have,osteophytes,Calcinosis_lung,164,303,1,2
thoracic spine,have,spondylosis,Calcinosis_lung,164,348,1,2
ribs,have,fractures,Calcinosis_lung,251,156,1,2
mediastinum,be,normal,Calcinosis_lung,469,134,0,2
mediastinum,be,widened,Calcinosis_lung,469,359,0,2
pulmonary vasculature,be,normal,Calcinosis_lung,80,134,0,2
pulmonary vasculature,be,engorged,Calcinosis_lung,80,372,0,2
diaphragm,be,elevated,Calcinosis_lung,471,118,0,2
diaphragm,be,flattened,Calcinosis_lung,471,232,0,2
hiatal hernia,be,present,Calcinosis_lung,433,226,0,2
sternotomy wires,be,present,Calcinosis_lung,684,226,0,2
pacemaker,be,present,Calcinosis_lung,680,226,0,2
ICD leads,be,present,Calcinosis_lung,234,226,0,2
airspace consolidation,be,absent,Calcinosis_lung,2,10,0,2
airspace consolidation,be,present,Calcinosis_lung,2,226,0,2
atelectasis,be,present,Calcinosis_lung,54,226,0,2
interstitial markings,be,present,Calcinosis_lung,526,226,0,2
nodules,be,present,Calcinosis_lung,613,226,0,2
calcified lymph nodes,be,present,Calcinosis_lung,29,226,0,2
scoliosis,be,present,Calcinosis_lung,213,226,0,2
kyphosis,be,present,Calcinosis_lung,417,226,0,2
osteopenia,be,present,Calcinosis_lung,773,226,0,2
pleural thickening,be,present,Calcinosis_lung,295,226,0,2
pulmonary hypertension,may be,present,Calcinosis_lung,172,226,3,2
costophrenic angles,be,blunted,Calcinosis_lung,476,713,0,2
lung volumes,be,low,Calcinosis_lung,502,253,0,2
lung volumes,be,normal,Calcinosis_lung,502,134,0,2
trachea,be,midline,Calcinosis_lung,20,380,0,2
surgical clips,be,present,Calcinosis_lung,793,226,0,2
vertebral bodies,have,wedge deformities,Calcinosis_lung,663,194,1,2
clavicle,have,deformity,Calcinosis_lung,360,16,1,2
azygos fissure,be,present,Calcinosis_lung,635,226,0,2
pulmonary nodules,be,present,Calcinosis_lung,235,226,0,2
pleural plaques,be,present,Calcinosis_lung,578,226,0,2
bronchial wall thickening,be,present,Calcinosis_lung,416,226,0,2
pulmonary fibrosis,may be,present,Calcinosis_lung,188,226,3,2
lung scarring,be,present,Calcinosis_lung,584,226,0,2
mediastinal lymphadenopathy,may be,present,Calcinosis_lung,392,226,3,2
aortic aneurysm,may be,present,Calcinosis_lung,424,226,3,2
tracheostomy tube,be,present,Calcinosis_lung,611,226,0,2
mitral annular calcification,be,present,Calcinosis_lung,327,226,0,2
apical scarring,be,present,Calcinosis_lung,162,226,0,2
calcified granuloma,located in,lung,Calcinosis_lung,382,758,4,2
calcified granuloma,located in,right upper lobe,Calcinosis_lung,382,413,4,2
calcified granuloma,located in,left upper lobe,Calcinosis_lung,382,254,4,2
calcified granuloma,located in,right lower lobe,Calcinosis_lung,382,56,4,2
calcified granuloma,located in,left lower lobe,Calcinosis_lung,382,425,4,2
calcified granuloma,located in,right midlung,Calcinosis_lung,382,185,4,2
calcified granuloma,located in,left midlung,Calcinosis_lung,382,591,4,2
calcified granuloma,located in,right hilar region,Calcinosis_lung,382,168,4,2
calcified granuloma,located in,left hilar region,Calcinosis_lung,382,314,4,2
calcified granuloma,located in,right apex,Calcinosis_lung,382,167,4,2
calcified granuloma,located in,left apex,Calcinosis_lung,382,779,4,2
calcified granuloma,located in,right base,Calcinosis_lung,382,206,4,2
calcified granuloma,located in,left base,Calcinosis_lung,382,474,4,2
calcified granuloma,located in,right middle lobe,Calcinosis_lung,382,778,4,2
calcified granuloma,located in,lingula,Calcinosis_lung,382,100,4,2
calcified granuloma,located in,right costophrenic angle,Calcinosis_lung,382,328,4,2
calcified granuloma,located in,left costophrenic angle,Calcinosis_lung,382,669,4,2
calcified granuloma,size,3 mm,Calcinosis_lung,382,224,2,2
calcified granuloma,size,4 mm,Calcinosis_lung,382,283,2,2
calcified granuloma,size,5 mm,Calcinosis_lung,382,806,2,2
calcified granuloma,size,6 mm,Calcinosis_lung,382,308,2,2
calcified granuloma,size,8 mm,Calcinosis_lung,382,490,2,2
calcified granuloma,size,1.7 cm,Calcinosis_lung,382,699,2,2
calcified granuloma,size,2 cm,Calcinosis_lung,382,38,2,2
calcified granuloma,appearance,stable,Calcinosis_lung,382,461,5,2
calcified granuloma,appearance,unchanged,Calcinosis_lung,382,286,5,2
heart,size,normal,Calcinosis_lung,351,134,2,2
heart,size,enlarged,Calcinosis_lung,351,140,2,2
heart,size,mildly enlarged,Calcinosis_lung,351,407,2,2
heart,size,upper limits of normal,Calcinosis_lung,351,431,2,2
lungs,condition,clear,Calcinosis_lung,448,658,6,2
lungs,condition,hyperexpanded,Calcinosis_lung,448,765,6,2
lungs,condition,emphysematous,Calcinosis_lung,448,284,6,2
lungs,condition,well-expanded,Calcinosis_lung,448,807,6,2
lungs,condition,low volume,Calcinosis_lung,448,411,6,2
pleural effusion,status,absent,Calcinosis_lung,354,10,7,2
pleural effusion,status,present,Calcinosis_lung,354,226,7,2
pleural effusion,appearance,left,Calcinosis_lung,354,244,5,2
pleural effusion,appearance,right,Calcinosis_lung,354,683,5,2
pleural effusion,appearance,bilateral,Calcinosis_lung,354,594,5,2
pleural effusion,size,small,Calcinosis_lung,354,724,2,2
pneumothorax,status,absent,Calcinosis_lung,160,10,7,2
pneumothorax,status,present,Calcinosis_lung,160,226,7,2
thoracic spine,condition,degenerative changes,Calcinosis_lung,164,66,6,2
thoracic spine,condition,osteophytes,Calcinosis_lung,164,303,6,2
thoracic spine,condition,scoliosis,Calcinosis_lung,164,213,6,2
aorta,condition,calcified,Calcinosis_lung,336,494,6,2
aorta,condition,tortuous,Calcinosis_lung,336,432,6,2
aorta,condition,ectatic,Calcinosis_lung,336,22,6,2
mediastinal contour,appearance,normal,Calcinosis_lung,748,134,5,2
mediastinal contour,appearance,widened,Calcinosis_lung,748,359,5,2
pulmonary vasculature,appearance,normal,Calcinosis_lung,80,134,5,2
pulmonary vasculature,appearance,prominent,Calcinosis_lung,80,637,5,2
COPD,associate,lung changes,Calcinosis_lung,706,202,8,2
COPD,associate,hyperinflation,Calcinosis_lung,706,694,8,2
hiatal hernia,status,present,Calcinosis_lung,433,226,7,2
hiatal hernia,size,small,Calcinosis_lung,433,724,2,2
rib fractures,status,present,Calcinosis_lung,84,226,7,2
rib fractures,appearance,left,Calcinosis_lung,84,244,5,2
rib fractures,appearance,right,Calcinosis_lung,84,683,5,2
sternotomy wires,status,present,Calcinosis_lung,684,226,7,2
pacemaker,status,present,Calcinosis_lung,680,226,7,2
pacemaker,appearance,left chest,Calcinosis_lung,680,397,5,2
ICD leads,status,present,Calcinosis_lung,234,226,7,2
lung nodules,status,present,Calcinosis_lung,697,226,7,2
lung nodules,size,small,Calcinosis_lung,697,724,2,2
lung nodules,appearance,noncalcified,Calcinosis_lung,697,640,5,2
atelectasis,appearance,bibasilar,Calcinosis_lung,54,361,5,2
atelectasis,appearance,left base,Calcinosis_lung,54,474,5,2
atelectasis,appearance,right base,Calcinosis_lung,54,206,5,2
osteopenia,appearance,spine,Calcinosis_lung,773,338,5,2
osteopenia,appearance,ribs,Calcinosis_lung,773,251,5,2
scoliosis,appearance,thoracic spine,Calcinosis_lung,213,164,5,2
scoliosis,severity,mild,Calcinosis_lung,213,280,9,2
calcified lymph nodes,appearance,hilar,Calcinosis_lung,29,219,5,2
calcified lymph nodes,appearance,mediastinal,Calcinosis_lung,29,63,5,2
pulmonary fibrosis,status,present,Calcinosis_lung,188,226,7,2
pulmonary fibrosis,appearance,bilateral,Calcinosis_lung,188,594,5,2
pleural thickening,appearance,apical,Calcinosis_lung,295,137,5,2
pleural thickening,appearance,right,Calcinosis_lung,295,683,5,2
pleural thickening,appearance,left,Calcinosis_lung,295,244,5,2
cardiomegaly,status,present,Calcinosis_lung,590,226,7,2
atherosclerosis,appearance,aorta,Calcinosis_lung,4,336,5,2
atherosclerosis,severity,moderate,Calcinosis_lung,4,612,9,2
emphysema,associate,lung changes,Calcinosis_lung,371,202,8,2
emphysema,appearance,upper lobes,Calcinosis_lung,371,656,5,2
bronchial wall thickening,status,present,Calcinosis_lung,416,226,7,2
bronchial wall thickening,appearance,diffuse,Calcinosis_lung,416,568,5,2
interstitial markings,appearance,bilateral,Calcinosis_lung,526,594,5,2
interstitial markings,appearance,increased,Calcinosis_lung,526,347,5,2
kyphosis,appearance,thoracic spine,Calcinosis_lung,417,164,5,2
kyphosis,severity,mild,Calcinosis_lung,417,280,9,2
pectus excavatum,status,present,Calcinosis_lung,132,226,7,2
pectus carinatum,status,present,Calcinosis_lung,795,226,7,2
diaphragm,appearance,elevated,Calcinosis_lung,471,118,5,2
diaphragm,appearance,normal,Calcinosis_lung,471,134,5,2
trachea,appearance,midline,Calcinosis_lung,20,380,5,2
trachea,appearance,deviated,Calcinosis_lung,20,707,5,2
costophrenic angles,appearance,sharp,Calcinosis_lung,476,190,5,2
costophrenic angles,appearance,blunted,Calcinosis_lung,476,713,5,2
bony structures,appearance,intact,Calcinosis_lung,632,813,5,2
bony structures,appearance,degenerative changes,Calcinosis_lung,632,66,5,2
soft tissues,appearance,normal,Calcinosis_lung,744,134,5,2
soft tissues,appearance,swelling,Calcinosis_lung,744,725,5,2
calcified granuloma,associate,previous infection,Calcinosis_lung,382,310,8,2
calcified granuloma,associate,tuberculosis,Calcinosis_lung,382,401,8,2
calcified granuloma,associate,histoplasmosis,Calcinosis_lung,382,482,8,2
calcified granuloma,clinical significance,benign,Calcinosis_lung,382,442,10,2
calcified granuloma,clinical significance,requires monitoring,Calcinosis_lung,382,745,10,2
calcified granuloma,differential diagnosbe,includes malignancy,Calcinosis_lung,382,119,11,2
